Whiskey,Percent.whiskey,Rep,Style,"Ethene, ethoxy-",Acetaldehyde,Acetone,"Methane, diethoxy-","Ethane, 1,1-diethoxy-","Butane, 1,1-diethoxy-3-methyl-"
Peat Monster,50,1,BS,4210.419519,135339.8659,140495.3121,24043.73921,564592.8391,74910.21056
Peat Monster,50,2,BS,2343.315457,111549.8341,109152.9983,21168.72214,383850.198,50864.25747
Peat Monster,50,3,BS,1875.963297,93153.3688,86637.88027,15569.59172,290560.5843,38213.61949
Peat Monster,60,1,BS,6461.7585,146522.2229,95280.38047,28377.16666,1029061.636,129868.636
Peat Monster,60,2,BS,3901.428231,156456.0893,112663.3155,22591.37969,766645.7787,90004.49729
Peat Monster,60,3,BS,4419.885425,84145.29304,46735.96501,16659.77255,487668.7755,64532.93557
Peat Monster,70,1,BS,12865.73399,139484.9399,125898.1774,26065.21659,1647460.314,204514.4555
Peat Monster,70,2,BS,4017.348262,154974.0571,148307.8488,21579.76677,814773.2975,84832.7437
Peat Monster,70,3,BS,6348.672524,81970.7854,0,17914.09597,710003.4239,70937.13655
Peat Monster,80,1,BS,17333.96424,140670.7416,174618.9918,30673.22314,2051524.488,214109.047
Peat Monster,80,2,BS,6642.186124,118948.7392,128744.5775,20629.86296,1086258.139,109258.1835
Peat Monster,80,3,BS,4011.361441,166415.5559,207099.1814,18029.8253,875613.867,69642.67408
Peat Monster,90,1,BS,20267.82504,166131.5929,122835.1481,33659.23769,2518676.562,206092.8383
Peat Monster,90,2,BS,10932.4415,136453.8124,98910.08257,24702.27562,1601933.235,136163.5982
Peat Monster,90,3,BS,11890.3129,91581.18967,63541.75572,19310.54115,1267403.944,98264.06742
Peat Monster,100,1,BS,19387.38672,154187.0886,131852.2312,30349.39665,2370618.34,154973.893
Peat Monster,100,2,BS,16686.57501,113887.1171,91780.77793,23163.2588,1926497.826,127376.3349
Peat Monster,100,3,BS,16179.55837,95844.30166,71624.37756,18537.64787,1541413.055,101315.301
Aberlour 12,50,1,SM,569.6206656,131129.9486,19302.61031,30582.81532,187367.6321,8207.996666
Aberlour 12,50,2,SM,883.0074543,111607.0471,0,31818.34549,204181.9463,9320.22551
Aberlour 12,50,3,SM,814.7715463,115312.1461,15098.76496,29319.33524,184520.37,8445.930539
Aberlour 12,60,1,SM,1450.485126,124630.7043,15520.61063,35138.1298,330609.3361,15160.82222
Aberlour 12,60,2,SM,914.6007125,141952.7864,19927.16824,32715.33863,290401.4869,12519.20547
Aberlour 12,60,3,SM,935.6213621,120628.8521,14200.17615,30324.91595,293122.6305,13132.65059
Aberlour 12,70,1,SM,1573.17579,133750.0927,15080.98342,39207.3445,478700.915,20431.60475
Aberlour 12,70,2,SM,1430.006042,174714.5008,22185.59222,37986.95689,467374.9485,19398.57034
Aberlour 12,70,3,SM,1540.448145,144166.6253,17455.30556,37581.83584,479754.4892,19437.50274
Aberlour 12,80,1,SM,2898.267463,141991.9618,16511.65564,40035.50099,734571.2014,29032.6123
Aberlour 12,80,2,SM,1779.899044,161049.3566,20162.58605,36556.43712,600237.679,21929.69771
Aberlour 12,80,3,SM,1991.92841,155004.2727,19256.8125,39978.18201,650010.0712,24203.26509
Aberlour 12,90,1,SM,2181.603403,203430.3855,20700.76201,40181.28542,790681.4058,25530.63742
Aberlour 12,90,2,SM,2170.390505,201544.7176,20486.65069,40936.14592,811670.3365,25292.33324
Aberlour 12,90,3,SM,2925.917332,193926.1961,19093.70758,43163.45008,884160.8599,27641.75065
Aberlour 12,100,1,SM,3509.087181,188554.6714,25385.11658,41666.35204,1038308.035,28896.17766
Aberlour 12,100,2,SM,3933.843144,184438.56,23896.95566,38858.3907,969577.6894,27288.53679
Aberlour 12,100,3,SM,2860.871125,227032.911,32152.51527,40437.44136,953976.1084,25470.3363
Basil Hayden's,50,1,BU,1939.92414,87539.81259,0,23120.0704,162440.6122,3321.867049
Basil Hayden's,50,2,BU,1765.83307,100845.4264,120440.5644,24053.67743,171360.6511,3563.083616
Basil Hayden's,50,3,BU,3441.870687,74461.31327,66150.3867,27258.04098,189699.1097,3577.629262
Basil Hayden's,60,1,BU,6609.266596,65003.5594,0,25579.74921,277999.0189,5573.371552
Basil Hayden's,60,2,BU,4611.731213,75983.78214,0,26903.39329,301000.173,5764.763769
Basil Hayden's,60,3,BU,5739.895343,60359.02267,0,23351.36961,250401.1019,5221.058138
Basil Hayden's,70,1,BU,14741.02557,77984.72828,0,31846.31854,555407.959,10285.34675
Basil Hayden's,70,2,BU,2283.967477,131103.0024,0,24466.2752,308424.2583,6521.402788
Basil Hayden's,70,3,BU,8569.289809,70431.45892,33544.17587,28937.04093,395092.3587,7868.895468
Basil Hayden's,80,1,BU,7974.098878,108468.2264,37332.68157,32131.61572,612555.283,11617.07202
Basil Hayden's,80,2,BU,4448.006912,133313.5667,0,27068.12571,495949.1741,9810.805994
Basil Hayden's,80,3,BU,9904.030176,78306.82433,26936.81961,28943.87632,533624.4993,9637.771878
Basil Hayden's,90,1,BU,14501.3043,85516.83797,17140.64866,29555.48642,689959.8374,11369.63096
Basil Hayden's,90,2,BU,8074.633479,127336.3054,26840.95692,32484.30473,748315.0672,12428.41074
Basil Hayden's,90,3,BU,6877.238493,139402.3898,29014.61523,28198.73987,634544.9329,11501.86213
Basil Hayden's,100,1,BU,21533.04926,101668.6629,24326.68583,32624.80815,816635.1008,9207.553124
Basil Hayden's,100,2,BU,17214.66034,92558.9993,0,30797.06939,871529.5287,12512.35369
Basil Hayden's,100,3,BU,20070.57076,90189.36409,21990.74309,56866.39934,870733.3808,13791.39143
Black Bottle,50,1,BS,696.2980584,62740.75383,0,11855.56485,136449.7295,6154.487392
Black Bottle,50,2,BS,501.1456147,69115.94727,0,10082.68036,118175.2436,5453.608036
Black Bottle,50,3,BS,745.0241587,64233.73109,0,11030.50289,164524.6676,8069.858429
Black Bottle,60,1,BS,1003.302772,64910.70807,0,10494.90449,183292.7746,8579.000818
Black Bottle,60,2,BS,849.4778432,65551.57369,0,10806.95751,190434.5246,8758.470378
Black Bottle,60,3,BS,1007.925931,78071.6885,0,11177.74754,208548.9989,9527.988467
Black Bottle,70,1,BS,1148.236796,105798.2181,0,15287.14439,309846.7227,14398.36136
Black Bottle,70,2,BS,1368.36582,92987.17747,0,15248.25168,315179.5813,14866.33503
Black Bottle,70,3,BS,1292.525113,94128.20899,0,14944.12111,326394.9899,15248.41739
Black Bottle,80,1,BS,2674.434742,86518.43537,0,16660.90329,470002.1503,20256.78175
Black Bottle,80,2,BS,3469.278682,88504.08197,0,16071.70706,647065.6708,30578.13159
Black Bottle,80,3,BS,2135.659588,89457.66717,0,15360.61253,469489.0967,20584.66463
Black Bottle,90,1,BS,2695.8038,106059.1411,0,15133.78457,626169.0545,24854.73068
Black Bottle,90,2,BS,3161.071244,91520.21022,0,16379.96238,595774.7625,23053.50614
Black Bottle,90,3,BS,2616.81055,100096.3851,0,15771.5916,638088.7854,25882.95541
Black Bottle,100,1,BS,4345.932567,94004.26717,0,16594.49674,735215.2246,24706.71224
Black Bottle,100,2,BS,4042.66181,102930.585,0,16395.94583,738321.0085,25049.69862
Black Bottle,100,3,BS,3331.681962,112656.4634,0,15687.5948,685244.4374,23067.09765
Bulleit,50,1,RW,1589.098768,48404.128,0,65933.75721,282409.5912,7438.594744
Bulleit,50,2,RW,1547.284302,50830.17602,0,67910.66887,302155.0439,8430.147093
Bulleit,50,3,RW,1919.648924,49715.38858,0,65704.34887,389469.3757,12077.07496
Bulleit,60,1,RW,2303.737834,54437.73115,0,69192.101,423002.0877,11235.28543
Bulleit,60,2,RW,2198.730073,52110.87397,0,66742.83351,410420.9608,10779.23553
Bulleit,60,3,RW,2333.132929,55010.99753,0,68676.23893,547780.7284,16286.43462
Bulleit,70,1,RW,3429.389492,57405.76662,0,70440.70896,594998.5593,13703.68883
Bulleit,70,2,RW,2696.384694,55268.02454,0,67458.60244,571620.0216,13110.05336
Bulleit,70,3,RW,2901.572762,59150.00752,0,70844.46125,599494.7168,14712.9817
Bulleit,80,1,RW,3798.069467,63798.54775,0,69763.36848,801215.082,16485.30176
Bulleit,80,2,RW,3752.220498,65828.17821,0,66930.87484,743203.987,15584.12033
Bulleit,80,3,RW,4804.574401,59533.40826,0,69740.79161,760182.1055,15391.16026
Bulleit,90,1,RW,4685.981904,63566.5958,0,60593.91559,871140.1349,14497.35418
Bulleit,90,2,RW,4431.393228,64391.54518,0,59563.86485,896115.9124,16159.57516
Bulleit,90,3,RW,4531.741593,62239.98057,0,61904.7973,916100.6713,15889.94265
Bulleit,100,1,RW,4958.234589,67113.1502,0,60108.23209,1025326.689,14291.35894
Bulleit,100,2,RW,5340.674464,66986.19499,0,52572.26131,925212.9045,13086.44947
Bulleit,100,3,RW,5288.079861,66653.2311,0,60662.73531,1030481.877,15365.10162
Bunnahabhain,50,1,SM,907.6798629,23123.40471,0,8613.540041,124787.2032,20722.76807
Bunnahabhain,50,2,SM,1051.96701,22672.68182,0,8771.983047,150729.518,26330.98776
Bunnahabhain,50,3,SM,1343.501826,22555.69291,0,8418.407963,251140.8588,49208.74777
Bunnahabhain,60,1,SM,1400.216658,25900.98588,112559.3118,8834.205148,182991.1678,26897.35713
Bunnahabhain,60,2,SM,1250.132003,25411.86097,110054.3824,8741.254214,176348.4069,26565.27329
Bunnahabhain,60,3,SM,1019.449994,23442.59056,105036.9933,8877.247612,193092.1263,30781.10639
Bunnahabhain,70,1,SM,2096.95176,25767.13926,658306.407,8608.226949,240442.4851,32386.66768
Bunnahabhain,70,2,SM,1906.013851,24799.29383,672354.978,8603.648474,353921.5774,54903.40037
Bunnahabhain,70,3,SM,1656.922529,26146.71893,683064.9347,8587.379607,293560.9373,43907.47864
Bunnahabhain,80,1,SM,3059.615066,28717.67113,0,9378.548358,333831.8621,37238.59156
Bunnahabhain,80,2,SM,2183.458183,29296.50834,0,9299.76194,346442.044,40043.73456
Bunnahabhain,80,3,SM,2988.466198,28762.27147,0,9398.735249,328367.6422,36713.38631
Bunnahabhain,90,1,SM,3839.703854,30439.94899,474624.0172,8801.604338,396017.8335,35469.04041
Bunnahabhain,90,2,SM,2693.333061,29893.84168,481512.9027,8788.10264,426248.9915,42159.54926
Bunnahabhain,90,3,SM,2456.709494,29706.66409,482495.2005,8780.561887,440588.2974,43565.47551
Bunnahabhain,100,1,SM,5158.991884,32158.77883,808679.6025,8704.210911,449188.8978,30788.82092
Bunnahabhain,100,2,SM,3653.011113,32753.98174,841736.2743,8446.207864,448911.1068,32915.55323
Bunnahabhain,100,3,SM,3096.642716,31628.09193,837258.8117,9093.485477,489961.7302,38133.03351
Bushmills,50,1,IW,1227.504063,35444.40362,0,22034.09275,173169.9497,8699.618965
Bushmills,50,2,IW,1681.260946,37474.11846,0,23768.77535,203457.3347,10515.45771
Bushmills,50,3,IW,1033.617457,36895.72596,0,21707.35746,162990.0367,8822.716696
Bushmills,60,1,IW,1742.656929,39937.81019,0,22171.56024,275391.6179,14584.44447
Bushmills,60,2,IW,1348.047938,42662.90935,0,19445.26633,272418.503,13939.32553
Bushmills,60,3,IW,1456.173394,38256.06105,0,21467.0484,248653.4027,13135.38643
Bushmills,70,1,IW,1533.9791,45649.8663,0,24795.07698,387374.0114,19191.32298
Bushmills,70,2,IW,1434.968039,48817.57358,0,25049.1084,365454.12,17936.25748
Bushmills,70,3,IW,1425.73288,74235.92966,0,23300.41639,372595.1586,17546.53722
Bushmills,80,1,IW,2670.015023,76593.55118,0,24896.69865,570847.3928,23275.73815
Bushmills,80,2,IW,2328.68279,63122.26526,0,25336.1142,534822.3868,23307.64991
Bushmills,80,3,IW,1765.51943,72765.44752,0,25218.61945,489984.8938,20918.67507
Bushmills,90,1,IW,2094.70386,68292.79836,0,25023.76079,591874.808,22118.96408
Bushmills,90,2,IW,4024.678345,50093.3848,0,24202.98379,627587.9546,24831.00376
Bushmills,90,3,IW,2951.788805,50306.24817,0,24799.74621,625273.031,24094.61453
Bushmills,100,1,IW,4057.310017,53824.49088,0,22999.20319,689097.926,22837.69288
Bushmills,100,2,IW,5071.674885,50251.90238,0,23791.11247,716829.484,25438.47085
Bushmills,100,3,IW,3875.61172,52140.7907,0,24636.69752,731360.1141,24950.06148
Dewars,50,1,BS,557.6324814,14272.50543,0,1561.829121,67076.85167,6237.404319
Dewars,50,2,BS,290.8455344,13887.9037,0,1419.036261,63270.98083,5760.975337
Dewars,50,3,BS,825.6209585,14355.53593,0,1263.11916,106284.8559,11808.93198
Dewars,60,1,BS,988.7640524,15177.33573,0,1620.479744,158859.331,16958.65886
Dewars,60,2,BS,1159.379192,15742.65161,0,1612.729594,91573.56334,7813.05355
Dewars,60,3,BS,1005.682497,15658.79159,0,1396.469606,89380.13905,7571.033732
Dewars,70,1,BS,948.7466615,16899.62544,0,1799.423607,133650.0103,11704.45956
Dewars,70,2,BS,1052.521468,17253.59723,0,1946.983687,133069.1782,11564.76646
Dewars,70,3,BS,1330.773342,16466.96393,0,1395.075079,200472.9493,20811.79034
Dewars,80,1,BS,1388.281662,17815.51224,0,1795.697732,170301.4259,13129.51246
Dewars,80,2,BS,1364.293627,18128.89739,0,1733.996479,199248.2619,16448.25741
Dewars,80,3,BS,1696.069139,18534.39855,0,1879.857637,173864.7408,12401.34115
Dewars,90,1,BS,2717.653821,19179.3652,0,1694.810979,211206.8592,13092.57381
Dewars,90,2,BS,1913.496495,20236.95068,0,1746.458437,232217.7925,15509.17245
Dewars,90,3,BS,1850.239031,19452.69135,0,1852.86983,238861.4605,16634.56515
Dewars,100,1,BS,3613.35143,20848.80905,0,1658.845375,232883.8059,11235.36208
Dewars,100,2,BS,2252.391968,20088.98267,0,1641.493766,258455.2604,15143.03855
Dewars,100,3,BS,3848.94426,21606.42304,0,1700.293246,229177.6729,10449.35914
Old Forester,50,1,BU,4147.746694,69607.86304,13792.81141,58083.22099,222551.9873,6154.509938
Old Forester,50,2,BU,2604.147444,81018.08224,18297.78116,51957.88778,194185.0514,5841.4724
Old Forester,50,3,BU,3815.897207,78217.18831,16444.23259,55510.02762,211248.9285,6298.339013
Old Forester,60,1,BU,6895.272374,62084.87787,10952.76308,56414.51577,306943.6326,8857.418531
Old Forester,60,2,BU,5595.922593,91115.23812,14579.55033,64830.23769,406755.4487,12551.96693
Old Forester,60,3,BU,3305.21201,111179.089,18690.05001,58526.26681,302771.0446,8417.151576
Old Forester,70,1,BU,6205.801373,101288.6663,22867.72479,59336.55265,442023.1407,11780.6098
Old Forester,70,2,BU,8697.719648,87938.56785,19557.39995,68323.04825,537465.1375,14236.22368
Old Forester,70,3,BU,4498.182313,121328.1045,30984.71779,61607.21938,456802.0836,11541.24615
Old Forester,80,1,BU,13525.88786,90542.14664,14297.35489,69313.26418,671527.8952,14321.53814
Old Forester,80,2,BU,10615.92358,102550.6192,15413.92909,66437.03249,659110.5453,15198.81748
Old Forester,80,3,BU,12362.15075,84381.0786,12607.89032,66162.03751,643773.9037,13951.16346
Old Forester,90,1,BU,10664.99912,111911.1518,21575.29962,60449.3982,745858.7335,13861.13814
Old Forester,90,2,BU,12402.66057,98703.6989,16351.27722,59545.89001,762488.4094,14840.30984
Old Forester,90,3,BU,10448.84661,120817.9689,23748.72454,58327.03079,734162.0407,13830.98465
Old Forester,100,1,BU,17988.54855,102737.2487,23531.03966,62566.62489,959111.7709,14550.40424
Old Forester,100,2,BU,22450.42049,89444.93503,22670.90684,59578.90227,854165.1664,12265.36889
Old Forester,100,3,BU,16095.98597,94401.30146,23983.83011,30519.76893,854838.483,12251.22103
Glansa,50,1,BS,1252.575808,96534.70249,22234.85034,11072.92748,215981.0789,18274.06424
Glansa,50,2,BS,727.1182825,99229.17959,26826.48694,11554.73495,165080.325,12949.18506
Glansa,50,3,BS,548.745212,98348.05807,26244.0669,10063.85399,148936.2856,11922.8711
Glansa,60,1,BS,1124.46406,103169.2216,0,11769.27101,266052.9481,21468.15614
Glansa,60,2,BS,1412.088561,117129.6687,30435.50079,13167.42637,328747.6376,26509.47686
Glansa,60,3,BS,978.7496662,104720.4695,25463.99344,13185.94114,279099.5863,22629.83378
Glansa,70,1,BS,1416.82795,125551.2534,22715.72678,12123.53188,464147.374,34571.71819
Glansa,70,2,BS,1198.879779,133341.3088,24788.49911,13042.58687,355452.4095,24521.50494
Glansa,70,3,BS,1083.762537,135938.9877,25819.46395,12966.73572,367058.2818,24628.09008
Glansa,80,1,BS,1334.465958,118366.0122,20220.24441,11785.97396,476163.5137,32038.48615
Glansa,80,2,BS,1520.356093,141298.4264,27890.18797,12983.37412,483576.3725,30212.32026
Glansa,80,3,BS,1570.06544,156529.7739,31440.74486,13305.26781,506135.8818,31745.95269
Glansa,90,1,BS,1845.945454,140478.0716,37391.60057,12195.42379,604097.821,32303.63883
Glansa,90,2,BS,2067.909113,126261.6822,32503.81245,12286.9091,644453.354,36293.56432
Glansa,90,3,BS,3501.212527,115269.5552,0,10971.24385,691596.7306,41505.90011
Glansa,100,1,BS,2564.492803,130127.0355,22409.87007,11867.75866,728809.2521,37680.36386
Glansa,100,2,BS,3657.683305,149217.7886,27333.31463,11178.68063,703786.1204,32288.10979
Glansa,100,3,BS,3315.677276,118690.9979,0,12797.8138,811542.5524,41786.46512
Glencadam,50,1,SM,2835.929461,86699.79161,11054.54079,31170.9045,379421.7515,30200.87093
Glencadam,50,2,SM,2145.153276,95518.22731,11074.12214,28430.97614,296082.6356,23831.04312
Glencadam,50,3,SM,3366.16699,77657.95155,9754.170528,29935.71234,348173.2768,28893.64943
Glencadam,60,1,SM,6703.351608,80072.18716,10256.91898,32061.73177,781329.5224,66541.55651
Glencadam,60,2,SM,5251.305296,79601.34813,9912.834529,31085.29979,638849.1019,51601.13959
Glencadam,60,3,SM,4288.601942,81798.13874,10417.69698,31830.77701,537096.4584,41411.32013
Glencadam,70,1,SM,5571.809516,82162.4126,10758.38227,33637.8985,725610.2158,49609.47226
Glencadam,70,2,SM,5092.916564,86332.39008,10949.26981,32236.44353,719704.3191,50014.85756
Glencadam,70,3,SM,5374.672657,88458.12334,11123.25401,32171.41805,707186.2332,48557.93332
Glencadam,80,1,SM,7564.186979,96816.72207,12050.23468,37743.73432,1103490.836,62462.04379
Glencadam,80,2,SM,8843.283596,91997.58412,11224.64311,34870.49509,1228445.887,72806.68517
Glencadam,80,3,SM,9445.407823,93209.19373,10779.51923,32392.69059,1232270.302,75187.58765
Glencadam,90,1,SM,10002.56553,98947.08729,12188.96625,36426.59843,1338312.468,64063.24869
Glencadam,90,2,SM,6777.470622,120835.7976,14329.25783,35009.69616,1249540.425,58961.66696
Glencadam,90,3,SM,7142.816727,133425.8667,14757.22421,37625.05495,1303801.382,62859.54129
Glencadam,100,1,SM,11066.80497,111146.8819,11964.97172,34218.71771,1443646.722,59215.60423
Glencadam,100,2,SM,8129.954103,136668.547,14028.31259,32901.93974,1343025.253,51274.82585
Glencadam,100,3,SM,10142.84469,105336.2113,11391.5398,33091.60656,1371140.689,53790.47515
Famous Grouse,50,1,BS,1103.014962,91918.51431,221121.2496,20354.53382,205161.778,6551.81438
Famous Grouse,50,2,BS,1552.615041,95918.36269,248039.7187,26402.42951,249867.0204,7636.434603
Famous Grouse,50,3,BS,1211.411138,88057.8828,222580.0273,20144.3554,182490.4491,5732.1091
Famous Grouse,60,1,BS,1175.353416,99423.65808,283156.4932,20602.6938,279838.2699,8930.765054
Famous Grouse,60,2,BS,1501.635641,93245.07081,290983.1362,22978.89309,293916.0514,8874.771966
Famous Grouse,60,3,BS,1519.88219,96465.11096,283255.4259,22438.75596,294565.397,9535.426561
Famous Grouse,70,1,BS,2266.671065,106997.2206,211877.657,25625.63423,563053.3218,18010.48735
Famous Grouse,70,2,BS,2517.429775,102918.8873,193218.0054,21360.21304,594681.79,20066.05821
Famous Grouse,70,3,BS,1860.997404,101704.2712,198151.1415,23840.13195,484079.4269,14756.54316
Famous Grouse,80,1,BS,3101.679693,115497.9795,0,26804.65561,637965.1182,17469.65147
Famous Grouse,80,2,BS,3115.899348,105228.0553,0,23757.42989,567442.8947,15431.72454
Famous Grouse,80,3,BS,3659.820481,109978.4355,0,26614.89946,721766.5327,21198.77172
Famous Grouse,90,1,BS,1888.892219,157588.5172,122521.3279,22800.35022,614954.6937,14406.81915
Famous Grouse,90,2,BS,4224.779602,114330.6149,0,25763.84441,811623.016,19276.41819
Famous Grouse,90,3,BS,2266.866991,155245.1587,0,21735.24553,633698.5942,14456.8107
Famous Grouse,100,1,BS,5503.790921,124709.3385,216125.9277,23992.24144,886899.8501,18948.05164
Famous Grouse,100,2,BS,3916.060265,131175.2128,216597.1038,23483.60486,852362.8533,17768.92353
Famous Grouse,100,3,BS,4029.009365,155221.5287,276693.3978,23234.31991,810580.283,16921.10446
Highland Park,50,1,SM,1984.140127,42629.36929,0,49309.49467,179237.754,6537.080006
Highland Park,50,2,SM,2545.492203,44750.41292,0,53409.22531,196903.1707,7288.378594
Highland Park,50,3,SM,2188.206275,45319.94808,0,52369.3223,187824.1236,6871.237315
Highland Park,60,1,SM,3253.940174,49370.7635,0,55477.60405,309611.2944,11504.08303
Highland Park,60,2,SM,3403.850142,49077.82642,0,53471.26282,283789.0842,10027.48644
Highland Park,60,3,SM,3455.425706,50200.49782,0,56956.86082,341948.993,13585.06398
Highland Park,70,1,SM,4396.409222,53366.26887,0,57240.90614,414846.8028,13573.6086
Highland Park,70,2,SM,5191.288306,53560.30502,0,57882.4196,485002.9669,17427.00121
Highland Park,70,3,SM,5640.648184,52327.05837,0,53140.61228,359254.1582,10408.88098
Highland Park,80,1,SM,9022.402688,60347.36195,0,58670.6946,532386.7356,12928.42757
Highland Park,80,2,SM,8578.791503,59747.44492,0,58046.06145,516810.7944,12690.31159
Highland Park,80,3,SM,7988.054149,59471.47476,0,56949.19894,519815.2171,12717.98224
Highland Park,90,1,SM,12155.95226,67536.34528,102825.3234,58219.71497,634545.5166,11899.21015
Highland Park,90,2,SM,10393.8401,62391.59397,0,53775.79339,605518.8524,11764.79995
Highland Park,90,3,SM,11881.25475,68979.39285,0,57051.6388,612191.5578,11143.66118
Highland Park,100,1,SM,16221.55468,70575.92365,0,55933.25339,720506.122,10688.08542
Highland Park,100,2,SM,17707.76974,76684.09301,0,57080.18503,712220.1319,9637.280307
Highland Park,100,3,SM,20149.57189,78316.97235,0,57474.01161,700872.9288,9628.212821
Highland Park Dark,50,1,SM,4333.081997,40049.11076,59267.64131,35295.13655,214922.6676,10394.56399
Highland Park Dark,50,2,SM,4484.139962,39759.51692,60097.82221,35937.34388,210854.3212,10773.33656
Highland Park Dark,50,3,SM,4248.922967,39086.50377,59198.18232,34894.13778,247150.0221,14654.72687
Highland Park Dark,60,1,SM,5125.3285,44822.07121,25128.38469,36274.05228,326904.6663,13672.82419
Highland Park Dark,60,2,SM,4789.830973,45486.88173,26650.4929,38118.86392,343490.7362,17144.2853
Highland Park Dark,60,3,SM,5098.493766,43797.33393,26100.12247,37253.74425,323452.6088,14645.72208
